ESTU_TIPODOCUMENTO|ESTU_NACIONALIDAD|ESTU_GENERO|ESTU_FECHANACIMIENTO|PERIODO|ESTU_CONSECUTIVO|ESTU_ESTUDIANTE|ESTU_PAIS_RESIDE|ESTU_TIENEETNIA|ESTU_ETNIA|ESTU_COD_RESIDE_DEPTO|ESTU_COD_RESIDE_MCPIO|FAMI_ESTRATOVIVIENDA|FAMI_PERSONASHOGAR|FAMI_CUARTOSHOGAR|FAMI_EDUCACIONPADRE|FAMI_EDUCACIONMADRE|FAMI_TRABAJOLABORPADRE|FAMI_TRABAJOLABORMADRE|FAMI_TIENEINTERNET|FAMI_TIENESERVICIOTV|FAMI_TIENECOMPUTADOR|FAMI_TIENELAVADORA|FAMI_TIENEHORNOMICROOGAS|FAMI_TIENEAUTOMOVIL|FAMI_TIENEMOTOCICLETA|FAMI_TIENECONSOLAVIDEOJUEGOS|FAMI_NUMLIBROS|FAMI_COMELECHEDERIVADOS|FAMI_COMECARNEPESCADOHUEVO|FAMI_COMECEREALFRUTOSLEGUMBRE|FAMI_SITUACIONECONOMICA|ESTU_DEDICACIONLECTURADIARIA|ESTU_DEDICACIONINTERNET|ESTU_HORASSEMANATRABAJA|ESTU_TIPOREMUNERACION|COLE_CODIGO_ICFES|COLE_COD_DANE_ESTABLECIMIENTO|COLE_NOMBRE_ESTABLECIMIENTO|COLE_GENERO|COLE_NATURALEZA|COLE_CALENDARIO|COLE_BILINGUE|COLE_CARACTER|COLE_COD_DANE_SEDE|COLE_NOMBRE_SEDE|COLE_SEDE_PRINCIPAL|COLE_AREA_UBICACION|COLE_JORNADA|COLE_COD_MCPIO_UBICACION|COLE_COD_DEPTO_UBICACION|ESTU_PRIVADO_LIBERTAD|ESTU_COD_MCPIO_PRESENTACION|ESTU_COD_DEPTO_PRESENTACION|PUNT_LECTURA_CRITICA|PERCENTIL_LECTURA_CRITICA|DESEMP_LECTURA_CRITICA|PUNT_MATEMATICAS|PERCENTIL_MATEMATICAS|DESEMP_MATEMATICAS|PUNT_C_NATURALES|PERCENTIL_C_NATURALES|DESEMP_C_NATURALES|PUNT_SOCIALES_CIUDADANAS|PERCENTIL_SOCIALES_CIUDADANAS|DESEMP_SOCIALES_CIUDADANAS|PUNT_INGLES|PERCENTIL_INGLES|DESEMP_INGLES|PUNT_GLOBAL|PERCENTIL_GLOBAL|ESTU_INSE_INDIVIDUAL|ESTU_NSE_INDIVIDUAL|ESTU_NSE_ESTABLECIMIENTO|ESTU_ESTADOINVESTIGACION|ESTU_GENERACION-E
TI|COLOMBIA|F|07/12/2000|20191|SB11201910008548|ESTUDIANTE|COLOMBIA|No|-|76|76001|Estrato 4|3 a 4|Cuatro|Técnica o tecnológica incompleta|Secundaria (Bachillerato) completa|Trabaja como profesional (por ejemplo médico, abogado, ingeniero)|Trabaja en el hogar, no trabaja o estudia|Si|Si|Si|Si|Si|No|No|No|0 A 10 LIBROS|Todos o casi todos los días|3 a 5 veces por semana|Todos o casi todos los días|Mejor|Entre 1 y 2 horas|Entre 1 y 3 horas|0|No|114686|176001002555|INSTITUCIÓN EDUCATIVA TÉCNICA COMERCIAL HERNANDO NAVIA VARON|MIXTO|OFICIAL|A|N|TÉCNICO/ACADÉMICO|176001002555|INSTITUCIÓN EDUCATIVA TÉCNICA COMERCIAL HERNANDO NAVIA VARON - SEDE PRINCIPAL|S|URBANO|NOCHE|76001|76|N|76001|76|50|29|2|49|31|2|47|33|2|40|22|1|54|39|A1|235|29|58.1994829097186|3|3|PUBLICAR|NO
CC|COLOMBIA|F|23/03/1998|20191|SB11201910004475|ESTUDIANTE|COLOMBIA|No|-|76|76001|Estrato 3|7 a 8|Cuatro|Técnica o tecnológica completa|Secundaria (Bachillerato) completa|Trabaja por cuenta propia (por ejemplo plomero, electricista)|Trabaja en el hogar, no trabaja o estudia|Si|Si|No|Si|No|No|No|No|11 A 25 LIBROS|3 a 5 veces por semana|Todos o casi todos los días|Nunca o rara vez comemos eso|Mejor|No leo por entretenimiento|Entre 1 y 3 horas|0|No|114686|176001002555|INSTITUCIÓN EDUCATIVA TÉCNICA COMERCIAL HERNANDO NAVIA VARON|MIXTO|OFICIAL|A|N|TÉCNICO/ACADÉMICO|176001002555|INSTITUCIÓN EDUCATIVA TÉCNICA COMERCIAL HERNANDO NAVIA VARON - SEDE PRINCIPAL|S|URBANO|NOCHE|76001|76|N|76001|76|53|35|3|45|25|2|44|27|2|34|10|1|35|10|A-|217|21|51.0185271168336|2|3|PUBLICAR|NO
TI|COLOMBIA|M|22/03/2001|20191|SB11201910011427|ESTUDIANTE|COLOMBIA|No|-|76|76001|Estrato 2|5 a 6|Cuatro|Primaria incompleta|Educación profesional completa|Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc|Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)|Si|Si|No|Si|Si|No|No|Si|0 A 10 LIBROS|3 a 5 veces por semana|Nunca o rara vez comemos eso|Nunca o rara vez comemos eso|Igual|No leo por entretenimiento|30 minutos o menos|Más de 30 horas|Si, en efectivo|114686|176001002555|INSTITUCIÓN EDUCATIVA TÉCNICA COMERCIAL HERNANDO NAVIA VARON|MIXTO|OFICIAL|A|N|TÉCNICO/ACADÉMICO|176001002555|INSTITUCIÓN EDUCATIVA TÉCNICA COMERCIAL HERNANDO NAVIA VARON - SEDE PRINCIPAL|S|URBANO|NOCHE|76001|76|N|76001|76|60|54|3|52|38|3|44|27|2|41|23|2|49|32|A1|246|34|50.8556572300991|2|3|PUBLICAR|NO
CC|COLOMBIA|M|16/06/1994|20191|SB11201910041975|ESTUDIANTE|COLOMBIA|No|-|76|76001|Estrato 2|3 a 4|Dos|Educación profesional completa|Educación profesional completa|Trabaja como profesional (por ejemplo médico, abogado, ingeniero)|Trabaja en el hogar, no trabaja o estudia|Si|Si|Si|No|Si|No|Si|No|0 A 10 LIBROS|1 o 2 veces por semana|1 o 2 veces por semana|Nunca o rara vez comemos eso|Igual|No leo por entretenimiento|Más de 3 horas|Entre 11 y 20 horas|Si, en efectivo|114686|176001002555|INSTITUCIÓN EDUCATIVA TÉCNICA COMERCIAL HERNANDO NAVIA VARON|MIXTO|OFICIAL|A|N|TÉCNICO/ACADÉMICO|176001002555|INSTITUCIÓN EDUCATIVA TÉCNICA COMERCIAL HERNANDO NAVIA VARON - SEDE PRINCIPAL|S|URBANO|NOCHE|76001|76|N|76001|76|56|41|3|54|43|3|46|30|2|44|29|2|64|55|A2|255|38|52.6882026476682|3|3|PUBLICAR|NO
CC|COLOMBIA|F|21/09/2000|20191|SB11201910014490|ESTUDIANTE|COLOMBIA|No|-|11|11001|Estrato 6|3 a 4|Tres|Educación profesional completa|Educación profesional completa|Trabaja como profesional (por ejemplo médico, abogado, ingeniero)|Trabaja en el hogar, no trabaja o estudia|Si|Si|Si|Si|Si|Si|No|Si|MÁS DE 100 LIBROS|Todos o casi todos los días|Todos o casi todos los días|Todos o casi todos los días|Igual|Entre 1 y 2 horas|Entre 1 y 3 horas|0|No|019364|311848001011|COL ANGLO COLOMBIANO|MIXTO|NO OFICIAL|B|S|ACADÉMICO|311848001011|COL ANGLO COLOMBIANO|S|URBANO|COMPLETA|11001|11|N|11001|11|55|40|3|67|73|3|50|38|2|47|34|2|71|64|B1|280|48|73.9308293690785|4|4|PUBLICAR|NO
TI|COLOMBIA|M|20/06/2001|20191|SB11201910010355|ESTUDIANTE|COLOMBIA|No|-|11|11001|Estrato 6|3 a 4|Tres|Postgrado|Postgrado|Trabaja como profesional (por ejemplo médico, abogado, ingeniero)|Trabaja en el hogar, no trabaja o estudia|Si|Si|Si|Si|Si|Si|No|Si|MÁS DE 100 LIBROS|Todos o casi todos los días|Todos o casi todos los días|Todos o casi todos los días|Igual|No leo por entretenimiento|Entre 1 y 3 horas|0|No|019364|311848001011|COL ANGLO COLOMBIANO|MIXTO|NO OFICIAL|B|S|ACADÉMICO|311848001011|COL ANGLO COLOMBIANO|S|URBANO|COMPLETA|11001|11|N|11001|11|57|46|3|73|86|4|65|74|3|61|63|3|87|96|B+|329|71|80.298227654943|4|4|PUBLICAR|NO
TI|COLOMBIA|F|02/03/2001|20191|SB11201910015989|ESTUDIANTE|COLOMBIA|No|-|11|11001|Sin Estrato|3 a 4|Tres|Educación profesional completa|Educación profesional completa|Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial|Trabaja como profesional (por ejemplo médico, abogado, ingeniero)|Si|Si|Si|Si|Si|Si|No|Si|MÁS DE 100 LIBROS|Todos o casi todos los días|Todos o casi todos los días|Todos o casi todos los días|Igual|No leo por entretenimiento|Entre 1 y 3 horas|0|No|019364|311848001011|COL ANGLO COLOMBIANO|MIXTO|NO OFICIAL|B|S|ACADÉMICO|311848001011|COL ANGLO COLOMBIANO|S|URBANO|COMPLETA|11001|11|N|11001|11|55|41|3|64|65|3|63|68|3|59|59|3|85|94|B+|311|62|75.5003343145886|4|4|PUBLICAR|NO
CC|COLOMBIA|F|08/09/2000|20191|SB11201910015950|ESTUDIANTE|COLOMBIA|No|-|11|11001|Estrato 6|3 a 4|Tres|Postgrado|Postgrado|Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial|Trabaja como profesional (por ejemplo médico, abogado, ingeniero)|Si|Si|Si|Si|Si|Si|No|Si|MÁS DE 100 LIBROS|Todos o casi todos los días|Todos o casi todos los días|Todos o casi todos los días|Mejor|Entre 30 y 60 minutos|Entre 1 y 3 horas|0|No|019364|311848001011|COL ANGLO COLOMBIANO|MIXTO|NO OFICIAL|B|S|ACADÉMICO|311848001011|COL ANGLO COLOMBIANO|S|URBANO|COMPLETA|11001|11|N|11001|11|64|65|3|72|85|4|74|94|4|72|90|4|85|93|B+|358|87|81.5003215297137|4|4|PUBLICAR|NO
CC|COLOMBIA|F|05/11/2000|20191|SB11201910013692|ESTUDIANTE|COLOMBIA|No|-|11|11001|-|5 a 6|Cuatro|-|-|Trabaja como profesional (por ejemplo médico, abogado, ingeniero)|Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc|-|-|Si|Si|Si|Si|No|Si|-|-|-|-|Igual|-|-|0|No|019364|311848001011|COL ANGLO COLOMBIANO|MIXTO|NO OFICIAL|B|S|ACADÉMICO|311848001011|COL ANGLO COLOMBIANO|S|URBANO|COMPLETA|11001|11|N|11001|11|53|35|3|56|47|3|48|34|2|48|37|2|71|64|B1|264|41|70.2635486503566|4|4|PUBLICAR|NO
CE|COLOMBIA|M|03/08/2000|20191|SB11201910026219|ESTUDIANTE|COLOMBIA|No|-|11|11001|Estrato 6|3 a 4|Tres|Educación profesional completa|Educación profesional completa|Trabaja como profesional (por ejemplo médico, abogado, ingeniero)|Trabaja en el hogar, no trabaja o estudia|Si|Si|Si|Si|Si|Si|No|Si|26 A 100 LIBROS|Todos o casi todos los días|Todos o casi todos los días|3 a 5 veces por semana|Igual|Entre 30 y 60 minutos|Más de 3 horas|0|No|019364|311848001011|COL ANGLO COLOMBIANO|MIXTO|NO OFICIAL|B|S|ACADÉMICO|311848001011|COL ANGLO COLOMBIANO|S|URBANO|COMPLETA|11001|11|N|11001|11|64|67|3|74|88|4|70|86|3|63|69|3|82|87|B+|344|79|71.2381541486684|4|4|PUBLICAR|NO
